Rk,Squad,Country,LgRk,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Attendance,Top Team Scorer,Goalkeeper
1,Manchester City,eng ENG,1,38,32,2,4,95,23,+72,98,2.58,84.3,24.7,+59.6,+1.57,54130,Sergio Agüero - 21,Ederson
2,Liverpool,eng ENG,2,38,30,7,1,89,22,+67,97,2.55,73.7,28.8,+44.9,+1.18,52983,Sadio Mané Mohamed Salah - 22,Alisson
3,Paris S-G,fr FRA,1,38,29,4,5,105,35,+70,91,2.39,88.9,37.6,+51.3,+1.35,46911,Kylian Mbappé - 33,Alphonse Areola
4,Juventus,it ITA,1,38,28,6,4,70,30,+40,90,2.37,60.7,35.8,+25.0,+0.66,37799,Cristiano Ronaldo - 21,Wojciech Szczęsny
5,Bayern Munich,de GER,1,34,24,6,4,88,32,+56,78,2.29,85.6,27.2,+58.4,+1.72,75000,Robert Lewandowski - 22,Manuel Neuer
6,Barcelona,es ESP,1,38,26,9,3,90,36,+54,87,2.29,75.8,45.3,+30.5,+0.80,76104,Lionel Messi - 36,Marc-André ter Stegen
7,Dortmund,de GER,2,34,23,7,4,81,44,+37,76,2.24,61.5,39.9,+21.5,+0.63,80841,Paco Alcácer - 18,Roman Bürki
8,Napoli,it ITA,2,38,24,7,7,74,36,+38,79,2.08,61.8,38.2,+23.5,+0.62,29003,Arkadiusz Milik - 17,David Ospina
9,Atlético Madrid,es ESP,2,38,22,10,6,55,29,+26,76,2.00,47.3,41.9,+5.4,+0.14,56216,Antoine Griezmann - 15,Jan Oblak
10,Lille,fr FRA,2,38,22,9,7,68,33,+35,75,1.97,59.5,42.1,+17.4,+0.46,34079,Nicolas Pépé - 22,Mike Maignan
11,RB Leipzig,de GER,3,34,19,9,6,63,29,+34,66,1.94,65.7,40.5,+25.2,+0.74,38380,Timo Werner - 16,Péter Gulácsi
12,Chelsea,eng ENG,3,38,21,9,8,63,39,+24,72,1.89,58.6,36.4,+22.2,+0.58,40437,Eden Hazard - 16,Kepa Arrizabalaga
13,Lyon,fr FRA,3,38,21,9,8,70,47,+23,72,1.89,73.7,43.9,+29.8,+0.78,49079,Moussa Dembélé - 15,Anthony Lopes
14,Tottenham,eng ENG,4,38,23,2,13,67,39,+28,71,1.87,54.9,47.1,+7.8,+0.20,54216,Harry Kane - 17,Hugo Lloris
15,Arsenal,eng ENG,5,38,21,7,10,73,51,+22,70,1.84,60.1,54.2,+5.9,+0.15,59899,Pierre-Emerick Aubameyang - 22,Bernd Leno
16,Atalanta,it ITA,3,38,20,9,9,77,46,+31,69,1.82,72.2,41.1,+31.1,+0.82,18301,Duván Zapata - 23,Pierluigi Gollini
17,Inter,it ITA,4,38,20,9,9,57,33,+24,69,1.82,63.8,38.3,+25.6,+0.67,57405,Mauro Icardi - 11,Samir Handanović
18,Milan,it ITA,5,38,19,11,8,55,36,+19,68,1.79,48.8,41.2,+7.6,+0.20,54651,Krzysztof Piątek - 9,Gianluigi Donnarumma
19,Real Madrid,es ESP,3,38,21,5,12,63,46,+17,68,1.79,66.7,47.1,+19.6,+0.52,61040,Karim Benzema - 21,Thibaut Courtois
